Rk,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Press,Succ,%
1,51,32,33,16,2,267,74,27.7
2,64,36,40,17,7,485,132,27.2
3,61,37,43,16,2,299,111,37.1
4,1,1,1,0,0,25,9,36.0
5,60,41,24,34,2,417,114,27.3
6,10,8,3,5,2,181,53,29.3
7,30,22,18,10,2,200,75,37.5
8,14,10,4,5,5,430,130,30.2
9,23,13,11,11,1,164,41,25.0
10,52,33,36,10,6,320,114,35.6
11,8,6,2,4,2,231,58,25.1
12,23,12,13,8,2,194,60,30.9
13,10,4,2,5,3,209,45,21.5
14,0,0,0,0,0,0,0,
15,4,3,0,4,0,60,10,16.7
16,5,3,2,2,1,50,12,24.0
17,0,0,0,0,0,17,4,23.5
18,27,18,6,15,6,326,84,25.8
19,0,0,0,0,0,2,0,0.0
20,1,1,0,1,0,16,4,25.0
21,35,23,24,8,3,225,66,29.3
22,50,22,24,21,5,248,60,24.2
23,4,3,1,1,2,15,2,13.3
24,3,1,1,1,1,22,6,27.3
25,25,18,12,10,3,217,46,21.2
26,14,11,9,4,1,106,28,26.4
27,7,5,0,4,3,222,56,25.2
28,39,28,20,14,5,203,71,35.0
29,2,1,0,2,0,30,4,13.3
30,21,19,5,14,2,148,57,38.5
31,40,26,28,11,1,304,108,35.5
32,49,28,26,19,4,330,96,29.1
33,10,7,7,3,0,164,47,28.7
34,32,18,13,11,8,224,83,37.1
35,1,0,0,0,1,21,1,4.8
36,18,14,3,13,2,280,75,26.8
37,44,23,29,13,2,223,86,38.6
38,4,2,2,2,0,15,4,26.7
39,25,11,20,5,0,222,66,29.7
40,17,13,7,7,3,140,43,30.7
41,27,11,19,8,0,169,56,33.1
42,27,17,10,17,0,207,79,38.2
43,48,29,27,12,9,250,76,30.4
44,7,2,1,3,3,185,51,27.6
45,25,14,10,9,6,231,68,29.4
46,52,34,25,21,6,676,203,30.0
47,50,33,31,18,1,278,85,30.6
48,23,11,11,11,1,192,66,34.4
49,4,2,2,2,0,146,43,29.5
50,2,2,0,2,0,88,22,25.0
51,54,38,19,29,6,292,101,34.6
52,59,36,34,20,5,444,130,29.3
53,44,24,24,17,3,258,83,32.2
54,44,28,24,17,3,374,105,28.1
55,1,0,0,1,0,21,6,28.6
56,2,1,1,1,0,38,6,15.8
57,20,11,4,10,6,136,26,19.1
58,0,0,0,0,0,2,0,0.0
59,58,25,37,15,6,409,131,32.0
60,0,0,0,0,0,0,0,
61,13,11,2,8,3,373,84,22.5
62,0,0,0,0,0,5,1,20.0
63,55,36,21,25,9,411,105,25.5
64,41,29,10,24,7,479,135,28.2
65,62,36,34,17,11,732,175,23.9
66,27,19,17,6,4,215,88,40.9
67,43,19,30,10,3,221,59,26.7
68,37,20,14,22,1,265,80,30.2
69,0,0,0,0,0,0,0,
70,39,25,27,11,1,222,79,35.6
71,23,11,17,6,0,172,49,28.5
72,28,23,23,3,2,235,77,32.8
73,21,7,12,8,1,107,26,24.3
74,16,9,7,9,0,161,42,26.1
75,43,22,20,20,3,438,123,28.1
76,2,0,1,0,1,36,10,27.8
77,62,28,40,17,5,287,88,30.7
