Rk,Player,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm
1,Antonio Adán\Antonio-Adan,0,0.00,1,1,1.000,0,,0,0,0,0
2,Adrián\Adrian,10,1.03,28,17,.643,2,22.2,0,0,0,0
3,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,17,1.70,46,29,.630,0,0.0,0,0,0,0
4,Enrico Alfonso\Enrico-Alfonso,4,1.29,11,7,.636,1,25.0,0,0,0,0
5,Alisson\Alisson,23,0.81,79,58,.722,13,44.8,1,1,0,0
6,Sergio Álvarez\Sergio-Alvarez,1,0.50,4,3,.750,2,50.0,0,0,0,0
7,Lorenzo Andrenacci\Lorenzo-Andrenacci,16,2.71,45,28,.644,0,0.0,1,0,0,1
8,Miguel Ángel Moyá\Miguel-Angel-Moya,16,1.23,51,36,.686,3,23.1,1,0,0,1
9,Alphonse Areola\Alphonse-Areola,2,0.67,4,2,.500,2,66.7,0,0,0,0
10,Alphonse Areola\Alphonse-Areola,5,1.25,13,10,.769,1,25.0,2,2,0,0
11,Kepa Arrizabalaga\Kepa-Arrizabalaga,47,1.42,99,55,.545,8,24.2,2,2,0,0
12,Sergio Asenjo\Sergio-Asenjo,41,1.21,142,107,.746,11,32.4,6,5,1,0
13,Emil Audero\Emil-Audero,60,1.67,160,110,.669,9,25.0,8,7,0,1
14,Stefan Bajic\Stefan-Bajic,1,1.00,2,1,.500,0,0.0,0,0,0,0
15,Oliver Baumann\Oliver-Baumann,49,1.63,143,101,.692,7,23.3,7,5,2,0
16,Asmir Begovi?\Asmir-Begovic,3,2.09,6,4,.667,0,0.0,1,1,0,0
17,Walter Benítez\Walter-Benitez,36,1.38,129,99,.752,4,15.4,6,4,1,1
18,Etrit Berisha\Etrit-Berisha,41,1.58,142,106,.754,3,11.5,6,6,0,0
19,Paul Bernardoni\Paul-Bernardoni,38,1.55,102,69,.667,6,24.0,4,4,0,0
20,Dimitry Bertaud\Dimitry-Bertaud,3,1.38,6,3,.500,0,0.0,0,0,0,0
21,Rubén Blanco\Ruben-Blanco,43,1.31,126,87,.698,10,30.3,5,5,0,0
22,Yassine Bounou\Yassine-Bounou,3,0.55,19,17,.895,4,80.0,1,1,0,0
23,Federico Brancolini\Federico-Brancolini,0,0.00,0,0,,1,,0,0,0,0
24,Claudio Bravo\Claudio-Bravo,7,1.82,15,8,.533,1,33.3,0,0,0,0
25,Gianluigi Buffon\Gianluigi-Buffon,10,1.11,32,23,.719,1,11.1,2,1,0,1
26,Roman Bürki\Roman-Burki,40,1.30,93,59,.602,13,41.9,3,3,0,0
27,Ludovic Butelle\Ludovic-Butelle,32,1.23,78,50,.628,11,42.3,3,3,0,0
28,Marcin Bu?ka\Marcin-Bulka,0,0.00,2,2,1.000,1,100.0,0,0,0,0
29,Willy Caballero\Willy-Caballero,7,1.40,16,10,.563,1,20.0,0,0,0,0
30,Matis Carvalho\Matis-Carvalho,4,5.07,8,5,.500,0,,0,0,0,0
31,Koen Casteels\Koen-Casteels,38,1.46,104,69,.673,5,19.2,4,4,0,0
32,Churripi\Churripi,3,1.11,13,10,.769,1,33.3,0,0,0,0
33,Jasper Cillessen\Jasper-Cillessen,30,1.29,102,78,.765,5,20.8,8,6,2,0
34,Yannis Clementia\Yannis-Clementia,2,1.00,6,5,.833,0,0.0,1,1,0,0
35,Simone Colombi\Simone-Colombi,4,1.00,17,14,.824,1,25.0,2,1,0,1
36,Andrea Consigli\Andrea-Consigli,55,1.77,140,93,.657,5,16.1,8,7,1,0
37,Angelo da Costa Júnior\Angelo-da-Costa-Junior,1,1.00,2,1,.500,0,0.0,0,0,0,0
38,Benoît Costil\Benoit-Costil,34,1.21,106,75,.698,6,21.4,3,2,1,0
39,Thibaut Courtois\Thibaut-Courtois,20,0.59,95,74,.789,18,52.9,0,0,0,0
40,Alessio Cragno\Alessio-Cragno,21,1.31,86,66,.767,3,18.8,2,1,1,0
41,Iván Cuéllar\Ivan-Cuellar,33,1.22,99,67,.677,8,29.6,2,1,1,0
42,Paul Delecroix\Paul-Delecroix,4,2.67,5,2,.400,0,0.0,1,1,0,0
43,Lucas Dias\Lucas-Dias,6,1.71,18,12,.667,1,33.3,0,0,0,0
