Rk,Player,Cmp,Att,Cmp%
1,Antonio Adán\Antonio-Adan,1,3,33.3
2,Adrián\Adrian,60,142,42.3
3,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,61,145,42.1
4,Enrico Alfonso\Enrico-Alfonso,11,32,34.4
5,Alisson\Alisson,138,255,54.1
6,Sergio Álvarez\Sergio-Alvarez,8,22,36.4
7,Lorenzo Andrenacci\Lorenzo-Andrenacci,33,66,50.0
8,Miguel Ángel Moyá\Miguel-Angel-Moya,100,188,53.2
9,Alphonse Areola\Alphonse-Areola,3,4,75.0
10,Alphonse Areola\Alphonse-Areola,16,36,44.4
11,Kepa Arrizabalaga\Kepa-Arrizabalaga,143,334,42.8
12,Sergio Asenjo\Sergio-Asenjo,166,451,36.8
13,Emil Audero\Emil-Audero,203,558,36.4
14,Stefan Bajic\Stefan-Bajic,3,3,100.0
15,Oliver Baumann\Oliver-Baumann,163,436,37.4
16,Asmir Begovi?\Asmir-Begovic,4,11,36.4
17,Walter Benítez\Walter-Benitez,87,203,42.9
18,Etrit Berisha\Etrit-Berisha,196,440,44.5
19,Paul Bernardoni\Paul-Bernardoni,134,407,32.9
20,Dimitry Bertaud\Dimitry-Bertaud,15,23,65.2
21,Rubén Blanco\Ruben-Blanco,213,573,37.2
22,Yassine Bounou\Yassine-Bounou,42,84,50.0
23,Federico Brancolini\Federico-Brancolini,1,1,100.0
24,Claudio Bravo\Claudio-Bravo,19,47,40.4
25,Gianluigi Buffon\Gianluigi-Buffon,22,38,57.9
26,Roman Bürki\Roman-Burki,116,320,36.3
27,Ludovic Butelle\Ludovic-Butelle,149,384,38.8
28,Marcin Bu?ka\Marcin-Bulka,0,0,
29,Willy Caballero\Willy-Caballero,32,74,43.2
30,Matis Carvalho\Matis-Carvalho,2,16,12.5
31,Koen Casteels\Koen-Casteels,227,485,46.8
32,Churripi\Churripi,18,80,22.5
33,Jasper Cillessen\Jasper-Cillessen,140,413,33.9
34,Yannis Clementia\Yannis-Clementia,3,23,13.0
35,Simone Colombi\Simone-Colombi,11,24,45.8
36,Andrea Consigli\Andrea-Consigli,141,339,41.6
37,Angelo da Costa Júnior\Angelo-da-Costa-Junior,2,4,50.0
38,Benoît Costil\Benoit-Costil,208,447,46.5
39,Thibaut Courtois\Thibaut-Courtois,90,311,28.9
40,Alessio Cragno\Alessio-Cragno,87,251,34.7
41,Iván Cuéllar\Ivan-Cuellar,230,623,36.9
42,Paul Delecroix\Paul-Delecroix,15,32,46.9
43,Lucas Dias\Lucas-Dias,27,72,37.5
44,Marko Dmitrovi?\Marko-Dmitrovic,273,842,32.4
45,Jaume Doménech\Jaume-Domenech,106,255,41.6
46,Gianluigi Donnarumma\Gianluigi-Donnarumma,221,469,47.1
47,Bart?omiej Dr?gowski\Bartlomiej-Dragowski,138,380,36.3
48,Martin Dúbravka\Martin-Dubravka,295,778,37.9
49,Ederson\Ederson,128,249,51.4
50,Aarón Escandell\Aaron-Escandell,30,81,37.0
51,?ukasz Fabia?ski\Lukasz-Fabianski,220,506,43.5
52,Fabricio\Fabricio,8,17,47.1
53,Ralf Fährmann\Ralf-Fahrmann,1,3,33.3
54,Wladimiro Falcone\Wladimiro-Falcone,8,29,27.6
55,Aitor Fernández\Aitor-Fernandez,204,553,36.9
56,Andrés Fernández\Andres-Fernandez,23,55,41.8
57,Mark Flekken\Mark-Flekken,82,206,39.8
58,Ben Foster\Ben-Foster,323,976,33.1
59,Daniel Fuzato\Daniel-Fuzato,4,16,25.0
