Rk,Cmp,Att,Cmp%,TotDist,Ast,xA,KP
1,1227,1558,78.8,21238,2,3.1,32
2,1316,1684,78.1,20283,1,3.4,24
3,1328,1515,87.7,29513,0,0.1,2
4,18,40,45.0,316,0,0.2,1
5,801,957,83.7,14638,2,1.4,26
6,74,132,56.1,1085,0,1.1,5
7,742,896,82.8,16639,0,0.1,2
8,288,412,69.9,4211,3,2.6,18
9,298,342,87.1,4705,0,0.1,4
10,1808,2010,90.0,41344,2,1.6,7
11,184,265,69.4,2932,2,1.3,11
12,595,699,85.1,9793,0,0.5,6
13,140,191,73.3,2008,1,0.9,7
14,4,6,66.7,121,0,0.0,0
15,41,46,89.1,546,0,0.1,2
16,61,80,76.3,1113,0,0.0,0
17,21,27,77.8,336,0,0.1,2
18,459,578,79.4,8478,3,2.0,18
19,227,314,72.3,6825,0,0.0,0
20,33,57,57.9,428,0,0.0,0
21,709,969,73.2,12415,0,1.9,16
22,722,1014,71.2,12629,1,1.0,12
23,36,39,92.3,671,0,0.1,1
24,29,36,80.6,458,0,0.1,2
25,245,301,81.4,3840,1,1.2,11
26,487,572,85.1,11845,0,0.0,0
27,284,367,77.4,3736,3,2.4,16
28,666,791,84.2,11011,2,1.5,14
29,91,104,87.5,1746,0,0.0,1
30,262,313,83.7,4836,1,0.1,3
31,1073,1223,87.7,23981,1,0.8,2
32,863,1160,74.4,15454,2,2.2,21
33,358,412,86.9,6349,1,0.1,4
34,625,801,78.0,10422,2,0.8,12
35,15,18,83.3,152,0,0.1,2
36,371,509,72.9,5861,4,3.0,14
37,1767,1929,91.6,36920,1,0.8,3
38,25,29,86.2,414,0,0.0,0
39,1042,1183,88.1,21680,2,0.5,4
40,172,206,83.5,2703,1,1.2,5
41,659,754,87.4,12650,0,0.0,1
42,2250,2478,90.8,47127,1,2.1,18
43,664,811,81.9,11890,0,1.1,13
44,227,308,73.7,3353,1,2.1,15
45,1864,2141,87.1,30213,5,3.3,28
46,1792,2263,79.2,33398,15,10.8,108
47,1619,1882,86.0,41782,0,0.4,5
48,344,508,67.7,6187,3,1.9,18
49,181,230,78.7,2575,1,1.4,9
50,84,112,75.0,1133,1,1.0,5
51,1649,1840,89.6,34565,0,1.0,22
52,831,1059,78.5,19154,2,0.8,14
53,1567,1895,82.7,37306,2,1.1,11
54,910,1170,77.8,15008,1,1.3,13
55,23,35,65.7,329,0,0.0,0
56,143,156,91.7,2693,0,0.0,0
57,333,389,85.6,6532,0,0.2,4
58,237,327,72.5,7495,0,0.1,2
59,2254,3147,71.6,49809,13,9.6,85
60,53,75,70.7,1492,0,0.0,0
61,342,467,73.2,5010,1,1.4,18
62,794,925,85.8,22277,1,0.4,2
63,718,829,86.6,13383,1,1.1,16
64,621,805,77.1,10289,4,2.0,22
65,682,894,76.3,10800,2,1.5,27
66,916,1108,82.7,16216,2,2.0,26
67,500,716,69.8,9888,1,0.3,9
68,39,53,73.6,1106,0,0.0,0
69,322,427,75.4,6679,0,0.2,7
70,1149,1403,81.9,26106,0,0.5,3
71,1096,1312,83.5,30909,0,0.5,7
72,564,664,84.9,8969,0,0.7,13
73,310,361,85.9,6360,0,0.0,1
74,231,292,79.1,3864,0,0.0,1
75,700,892,78.5,14195,1,0.8,8
76,12,17,70.6,201,0,0.0,0
77,983,1222,80.4,17616,1,1.3,14
78,140,193,72.5,2513,0,0.5,11
79,551,669,82.4,9532,2,0.4,3
80,906,1149,78.9,16090,2,5.9,54
81,74,78,94.9,1495,0,0.0,0
82,63,104,60.6,1201,0,0.3,8
83,1525,1738,87.7,31615,1,1.6,30
84,1192,1308,91.1,27967,0,0.2,4
85,58,68,85.3,1005,0,0.0,0
86,725,934,77.6,12045,4,2.9,26
87,495,795,62.3,6721,1,1.6,20
88,8,12,66.7,77,0,0.0,1
89,981,1239,79.2,17299,1,1.1,13
90,128,163,78.5,4227,0,0.0,0
91,857,1204,71.2,15609,2,2.1,31
92,548,622,88.1,10236,0,0.0,3
93,149,201,74.1,2142,0,0.6,8
94,363,458,79.3,11153,0,0.0,0
95,982,1466,67.0,21600,1,2.4,27
96,573,758,75.6,10452,2,2.3,20
97,335,426,78.6,6057,0,1.2,9
98,7,7,100.0,121,0,0.0,0
99,501,607,82.5,8128,1,0.7,8
100,582,825,70.5,12734,4,3.0,32
101,5,9,55.6,96,0,0.0,0
102,325,507,64.1,5127,3,2.8,21
103,321,453,70.9,5686,0,1.6,10
104,17,22,77.3,211,0,0.0,0
105,0,1,0.0,0,0,0.0,0
106,603,846,71.3,10471,2,3.1,42
107,86,101,85.1,1525,0,0.0,0
108,911,1076,84.7,15872,4,2.9,27
109,24,31,77.4,374,0,0.0,0
110,744,964,77.2,11758,0,0.3,8
111,649,972,66.8,14047,1,1.6,13
112,42,54,77.8,796,0,0.0,1
113,1397,1627,85.9,25553,3,1.8,23
114,223,309,72.2,3737,1,1.8,12
115,1290,1482,87.0,28790,2,0.2,2
116,197,208,94.7,3840,0,0.0,0
117,870,1169,74.4,21845,0,0.1,4
118,114,135,84.4,2998,0,0.0,0
119,56,58,96.6,1130,0,0.0,0
120,498,653,76.3,8487,1,1.1,10
121,2,2,100.0,26,0,0.0,0
122,466,612,76.1,7277,3,1.2,16
123,130,178,73.0,2089,1,0.2,5
124,73,97,75.3,1185,0,0.5,7
125,1152,1541,74.8,25934,8,6.0,68
126,877,1086,80.8,23680,0,0.0,0
127,296,372,79.6,4997,1,0.7,11
128,260,308,84.4,4750,1,0.1,2
129,742,1039,71.4,22187,0,0.0,0
130,134,163,82.2,2312,1,1.0,7
131,30,35,85.7,515,0,0.1,2
132,998,1283,77.8,15855,3,4.1,54
133,105,127,82.7,1701,1,1.1,6
134,10,14,71.4,169,0,0.0,0
135,163,208,78.4,2588,3,0.9,13
136,411,509,80.7,6491,1,0.6,9
137,612,888,68.9,9371,3,3.0,23
138,660,1037,63.6,21725,0,0.0,0
139,635,825,77.0,10865,2,1.5,21
140,33,40,82.5,490,0,0.0,0
141,387,534,72.5,6753,1,1.2,16
142,1262,1654,76.3,20964,5,3.0,30
143,381,562,67.8,7335,3,3.0,30
144,185,323,57.3,3456,2,2.7,21
145,48,71,67.6,862,1,0.9,5
146,597,766,77.9,12888,0,0.1,4
147,74,102,72.5,1205,0,0.9,7
148,219,308,71.1,3020,0,0.5,7
149,686,838,81.9,9691,2,2.1,26
150,1472,1756,83.8,34281,3,2.3,17
151,316,394,80.2,5621,0,0.3,6
152,2267,2838,79.9,40338,6,5.7,43
153,500,619,80.8,8858,0,0.7,14
154,1046,1285,81.4,19955,0,0.2,6
155,225,306,73.5,3297,0,0.7,12
156,101,133,75.9,1555,1,0.5,4
157,786,963,81.6,15714,0,1.0,20
158,4,7,57.1,56,0,0.0,0
159,6,6,100.0,95,0,0.0,0
160,4,4,100.0,58,0,0.0,0
161,150,204,73.5,2243,0,0.8,10
162,684,884,77.4,13902,0,0.4,8
163,326,481,67.8,6112,3,2.6,21
164,64,72,88.9,1266,0,0.0,0
165,610,655,93.1,13540,0,0.0,0
166,168,209,80.4,2952,0,0.8,6
167,19,19,100.0,509,0,0.0,0
168,831,961,86.5,14795,2,0.8,8
169,184,230,80.0,4067,0,0.3,6
170,91,94,96.8,1444,0,0.0,0
171,830,1158,71.7,16301,3,3.1,25
172,361,487,74.1,8135,0,0.0,0
173,207,295,70.2,3023,1,0.8,3
174,1173,1552,75.6,18040,3,2.6,27
175,360,480,75.0,6349,2,1.3,11
176,188,258,72.9,3272,0,0.0,0
177,114,128,89.1,2210,0,0.0,0
178,5,5,100.0,106,0,0.0,0
179,686,861,79.7,11942,0,1.4,14
180,222,266,83.5,3875,0,0.0,2
181,238,368,64.7,4650,0,0.4,8
182,207,279,74.2,3542,0,0.3,3
183,669,831,80.5,11101,4,2.3,35
184,1950,2372,82.2,42571,7,5.1,59
185,908,1109,81.9,21183,0,0.0,1
186,76,104,73.1,1162,0,0.2,4
187,571,701,81.5,9723,1,1.3,16
188,146,218,67.0,2704,0,0.1,2
189,731,800,91.4,14004,0,0.4,7
190,40,47,85.1,639,0,0.1,2
191,625,853,73.3,10379,2,1.9,28
192,599,897,66.8,11391,1,0.7,7
193,1015,1237,82.1,19860,4,1.6,22
194,204,268,76.1,3743,0,0.1,2
195,402,521,77.2,7181,2,2.1,15
196,62,89,69.7,966,1,1.0,3
197,540,616,87.7,10336,4,2.7,25
198,17,29,58.6,345,0,0.0,0
199,155,253,61.3,2120,0,0.5,4
