Rk,Gls,Sh,SoT,SoT%,SoT/90,G/Sh,PK,PKatt,xG
1,3,26,5,19.2,0.18,0.08,1,1,2.3
2,0,14,4,28.6,0.11,0.00,0,0,0.5
3,3,19,5,26.3,0.18,0.16,0,0,1.3
4,1,6,3,50.0,1.72,0.17,0,0,1.3
5,1,33,7,21.2,0.35,0.03,0,0,1.6
6,0,5,0,0.0,0.00,0.00,0,0,0.2
7,2,7,4,57.1,0.21,0.29,0,0,1.4
8,15,88,35,39.8,1.42,0.17,0,0,14.5
9,0,5,2,40.0,0.27,0.00,0,0,0.4
10,2,17,7,41.2,0.20,0.12,0,0,2.0
11,4,37,9,24.3,0.73,0.11,0,0,4.2
12,0,7,1,14.3,0.09,0.00,0,0,0.4
13,5,20,10,50.0,1.21,0.25,0,0,4.1
14,0,0,0,,0.00,,0,0,0.0
15,1,5,4,80.0,1.91,0.20,0,0,1.7
16,0,3,1,33.3,0.39,0.00,0,0,0.6
17,0,0,0,,0.00,,0,0,0.0
18,3,18,6,33.3,0.53,0.17,0,0,0.9
19,0,0,0,,0.00,,0,0,0.0
20,1,6,3,50.0,1.30,0.17,0,1,1.3
21,1,14,2,14.3,0.10,0.07,0,0,0.3
22,1,3,1,33.3,0.04,0.33,0,0,0.9
23,0,0,0,,0.00,,0,0,0.0
24,0,4,0,0.0,0.00,0.00,0,0,0.3
25,1,10,2,20.0,0.27,0.10,0,0,1.1
26,1,5,1,20.0,0.09,0.20,0,0,0.7
27,16,73,25,34.2,1.55,0.19,2,3,13.8
28,0,7,3,42.9,0.25,0.00,0,0,0.1
29,0,0,0,,0.00,,0,0,0.0
30,1,10,4,40.0,0.57,0.10,0,0,0.8
31,0,10,1,10.0,0.04,0.00,0,0,0.8
32,0,12,2,16.7,0.09,0.00,0,0,0.4
33,0,2,0,0.0,0.00,0.00,0,0,0.0
34,0,4,0,0.0,0.00,0.00,0,0,0.2
35,0,3,0,0.0,0.00,0.00,0,0,0.1
36,8,44,18,40.9,0.79,0.16,1,1,6.1
37,0,10,2,20.0,0.08,0.00,0,0,0.8
38,0,3,0,0.0,0.00,0.00,0,0,0.2
39,2,24,7,29.2,0.25,0.08,0,0,2.5
40,2,9,4,44.4,0.66,0.22,0,0,1.0
41,0,2,0,0.0,0.00,0.00,0,0,0.1
42,1,18,7,38.9,0.25,0.06,0,0,0.7
43,0,10,4,40.0,0.26,0.00,0,0,0.6
44,7,47,18,38.3,1.38,0.13,1,1,7.1
45,2,7,3,42.9,0.12,0.29,0,0,1.1
46,6,99,27,27.3,0.78,0.05,1,1,7.1
47,1,14,4,28.6,0.11,0.07,0,0,1.4
48,0,10,2,20.0,0.21,0.00,0,0,0.6
49,4,25,8,32.0,0.78,0.16,0,0,3.2
50,5,15,7,46.7,1.19,0.33,0,0,3.8
51,3,19,8,42.1,0.41,0.16,0,0,2.5
52,2,33,8,24.2,0.37,0.06,0,0,1.7
53,2,16,5,31.3,0.15,0.13,0,0,1.1
54,1,2,1,50.0,0.05,0.50,0,0,0.1
55,0,0,0,,0.00,,0,0,0.0
