ID	Nation	Description_
1	BOL	Bolivia
2	CHN	China
3	COL	Colombia
4	MDA	Moldova
5	JPN	Japan
6	CRC	Costa Rica
7	NZL	New Zealand
8	ARG	Argentina
9	USA	United States
10	AUS	Australia
11	MEX	Mexico
12	SVN	Slovenia
13	VEN	Venezuela
14	ALG	Algeria
15	SVK	Slovakia
16	CZE	Czech Republic
17	ARM	Armenia
18	GAB	Gabon
19	KOR	South Korea
20	CTA	Central African Republic
21	RSA	South Africa
22	TUR	Turkey
23	CAN	Canada
24	REU	Réunion
25	ALB	Albania
26	GRE	Greece
27	ENG	England
28	NGA	Nigeria
29	POL	Poland
30	MKD	North Macedonia
31	AUT	Austria
32	CUB	Cuba
33	KEN	Kenya
34	ANG	Angola
35	BEL	Belgium
36	BRA	Brazil
37	EQG	Equatorial Guinea
38	URU	Uruguay
39	GUI	Guinea
40	GPE	Champigny-sur-Marne
41	BFA	Burkine Faso
42	MTQ	Martinique
43	NIR	Northern Ireland
44	GEO	Georgia
45	MAR	Morocco
46	GHA	Ghana
47	PAR	Paraguay
48	LTU	Lithuania
49	CIV	Ivory Coast
50	EGY	Egypt
51	ITA	Italy
52	MNE	Montenegro
53	MTN	Mauritania
54	COD	Congo DR
55	MLI	Mali
56	NED	Netherlands
57	RUS	Russia
58	TOG	Togo
59	ROU	Romania
60	LUX	Luxembourg
61	ISL	Iceland
62	CRO	Croatia
63	SRB	Serbia
64	TUN	Tunisia
65	DEN	Denmark
66	SEN	Senegal
67	SWE	Sweden
68	MAD	Madagascar
69	CMR	Cameroon
70	EST	Estonia
71	CHA	Chad
72	FRA	France
73	DOM	Dominican Republic
74	PAN	Panama
75	NCL	New Caledonia
76	SCO	Scotland
77	KVX	Kosovo
78	ZAM	Zambia
79	BIH	Bosnia and Herzegovina
80	GAM	Gambia
81	MOZ	Mozambique
82	ESP	Spain
83	ISR	Israel
84	WAL	Wales
85	GNB	Guinea-Bissau
86	ECU	Ecuador
87	POR	Portugal
88	PER	Peru
89	IRN	Iran
90	HUN	Hungary
91	CPV	Cape Verde
92	CHI	Chile
93	GER	Germany
94	GUF	French Guiana
95	UKR	Ukraine
96	JAM	Jamaica
97	FIN	Finland
98	NOR	Norway
99	IRL	Ireland
100	SUI	Switzerland
101	ZIM	Zimbabwe
102	TAN	Tanzania
